,index,Property_type,property_type,sector,society,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,rating,floor_Num,total_floors,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,Bed,Light,Chimney,Exhaust Fan,Fan,TV,Dining Table,Microwave,Wardrobe,Sofa,Modular Kitchen,Stove,Washing Machine,AC,Curtains,Water Purifier,Geyser,Fridge,furnishing_type,luxury_score,Green_area,Construction,Management,Amenities,Connectivity,Lifestyle,Environment,Safety
816,816,,house,sector 3,independent,0.6,1000.0,6000.0,Built Up area: 1000 (92.9 sq.m.),1,1,0,1.0,,undefined,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],,,,,1000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,4,4,4
817,817,flat,4 BHK,sector 90,dlf regal gardens,2.05,2278.0,9000.0,Super Built up area 2215(205.78 sq.m.),4,4,3+,5th   of 29 Floors,,Relatively New,[Green Area5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],5.0,29.0,2215.0,,,0,0,0,0,0,0,0,0,1,6,0,0,0,3,0,1,0,0,0,0,0,4,0,1,49,5,4.5,4,5,4,,,
818,818,,house,sector 26,independent,8.9,2700.0,32963.0,Plot area 300(250.84 sq.m.),4,4,3+,2.0,South-East,Old Property,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],,,,,,1,1,1,1,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,,,,,5,5,5,5
819,819,,house,sector 26,independent,18.4,98978.0,1859.0,Plot area 502(419.74 sq.m.)Carpet area: 11000 sq.yards (9197.4 sq.m.),6,8,3+,4.0,South,Relatively New,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],,,,11000.0,,0,1,1,1,0,0,94,1,1,16,0,0,0,6,0,1,1,0,11,0,0,8,0,1,60,,,,,5,5,5,5
820,820,,house,sector 43,independent,2.2,3200.0,6875.0,Plot area 3200(297.29 sq.m.),12,12,3+,6.0,North,New Property,[Environment5 out of 5 Safety4.5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5],,,,,,0,1,0,0,0,12,12,0,1,12,12,0,0,12,0,1,0,0,12,1,0,12,1,2,50,,,,,5,5,5,4.5
821,821,,house,sector 23,independent,2.4,2000.0,12000.0,Plot area 2000(185.81 sq.m.),3,3,2,2.0,North-East,Moderately Old,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,,,,5,5,5,5
822,822,flat,3 BHK,sector 109,raheja atharva,2.2,2318.0,9490.0,Carpet area: 2318 (215.35 sq.m.),3,3,2,7th   of 14 Floors,North,Moderately Old,[Green Area4 out of 5 Construction2 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4 out of 5],7.0,14.0,,2318.0,,0,1,0,0,0,0,5,1,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,111,4,2,4,4,4,,,
823,823,,house,sector 43,independent,14.0,3510.0,39886.0,Plot area 390(326.09 sq.m.),9,9,3+,4.0,North,Moderately Old,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,4,4,4,4
824,824,flat,3 BHK,sector 65,m3m skycity,3.0,1828.0,16411.0,Super Built up area 1828(169.83 sq.m.),3,3,3,17th   of 47 Floors,East,Under Construction,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],17.0,47.0,1828.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,,,,,5,4,4,4
825,825,flat,4 BHK,sector 84,antriksh heights,1.02,2095.0,4868.0,Super Built up area 2095(194.63 sq.m.),4,4,3+,11st   of 19 Floors,North,Relatively New,[Green Area4.5 out of 5 Construction3.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity3 out of 5],11.0,19.0,2095.0,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,4.5,3.5,4,4,3,,,
826,826,flat,3 BHK,sector 56,professors enclave cghs,1.55,2000.0,7750.0,Super Built up area 2000(185.81 sq.m.),3,3,3+,6th   of 9 Floors,East,Moderately Old,[Environment4 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety4 out of 5],6.0,9.0,2000.0,,,0,1,0,0,0,0,10,0,1,6,0,0,0,3,0,0,0,0,0,1,0,2,0,1,49,,,,,5,5,4,4
827,827,flat,2 BHK,sector 103,signature global grand iva,0.5,750.0,6667.0,Built Up area: 750 (69.68 sq.m.)Carpet area: 605 sq.ft. (56.21 sq.m.),2,2,0,10th   of 10 Floors,North,undefined,[Green Area5 out of 5 Construction5 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],10.0,10.0,,605.0,750.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,4,,,
828,828,,house,sector 49,eros rosewood villas,2.5,1850.0,13513.0,Plot area 1530(142.14 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,3,2,2.0,East,Moderately Old,[Environment4 out of 5 Safety5 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5],,,,1850.0,1900.0,0,0,1,1,0,0,4,0,0,6,0,0,0,3,0,1,0,0,0,0,0,0,0,0,59,,,,,5,4,4,5
829,829,flat,4 BHK,sector 90,dlf new town heights,1.65,2903.0,5683.0,Super Built up area 2727(253.35 sq.m.),4,4,3+,7th   of 27 Floors,South,Moderately Old,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],7.0,27.0,2727.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,5,4,4,5,4,,,
830,830,,house,sector 46,independent,2.4,900.0,26667.0,Plot area 100(83.61 sq.m.),4,4,3,3.0,East,Moderately Old,[Environment4 out of 5 Safety4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5],,,,,,0,0,1,0,0,0,32,0,0,8,0,0,0,4,0,1,0,0,0,0,0,0,0,1,44,,,,,5,4,4,4
831,831,flat,4 BHK,sector 109,sbtl caladium,1.88,3055.0,6153.0,Super Built up area 3055(283.82 sq.m.),4,5,3,10th   of 19 Floors,North-East,Relatively New,[Environment5 out of 5 Lifestyle4 out of 5 Connectivity3.5 out of 5 Safety4.5 out of 5],10.0,19.0,3055.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,,,,,3.5,4,5,4.5
832,832,flat,3 BHK,sector 66,emaar mgf the palm drive,3.5,2201.0,15901.0,Super Built up area 2201(204.48 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,2,4th   of 17 Floors,South,Relatively New,[Green Area5 out of 5 Construction4.5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity5 out of 5],4.0,17.0,2201.0,1800.0,2200.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,5,4.5,4.5,5,5,,,
833,833,flat,2 BHK,sector 82,vatika the seven lamps,1.0,1435.0,6969.0,Super Built up area 1435(133.32 sq.m.),2,2,2,14th   of 16 Floors,,Relatively New,[Management5 out of 5 Green Area5 out of 5 Construction5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],14.0,16.0,1435.0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,5,5,5,5,4,,,
834,834,,house,sector 109,international city by sobha phase 1,5.85,2214.0,26423.0,Plot area 246(205.69 sq.m.),4,5,3+,2.0,East,Relatively New,[Environment5 out of 5 Lifestyle4 out of 5 Connectivity3.5 out of 5 Safety4.5 out of 5],,,,,,0,1,0,0,0,0,10,1,1,4,0,0,0,2,0,1,1,0,3,1,0,2,0,1,85,,,,,3.5,4,5,4.5
835,835,flat,3 BHK,sector 70,shree vardhman victoria,1.65,1950.0,8461.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,6th   of 18 Floors,North-East,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities4.5 out of 5 Connectivity3.5 out of 5],6.0,18.0,1950.0,1161.0,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,167,5,5,4.5,4.5,3.5,,,
836,836,flat,2 BHK,sector 21,mittal surya vihar,0.8,1130.0,7079.0,Carpet area: 1130 (104.98 sq.m.),2,2,2,6th   of 11 Floors,,Old Property,[Safety4.5 out of 5 Lifestyle4 out of 5 Environment5 out of 5 Connectivity5 out of 5],6.0,11.0,,1130.0,,0,0,0,0,0,0,10,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,5,4,5,4.5
837,837,flat,4 BHK,sector 70a,bptp astaire gardens,1.7,1900.0,8947.0,Carpet area: 1900 (176.52 sq.m.),4,3,3,1st   of 2 Floors,North-East,Relatively New,[Green Area4 out of 5 Construction5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity5 out of 5],1.0,2.0,,1900.0,,0,0,0,0,0,0,20,1,1,6,0,0,0,3,0,1,0,0,6,0,0,3,0,1,49,4,5,4,4,5,,,
838,838,flat,2 BHK,new sector 2,my home,0.22,500.0,4400.0,Carpet area: 500 (46.45 sq.m.),2,2,1,1st   of 4 Floors,,New Property,[Safety4 out of 5 Lifestyle4 out of 5 Environment4 out of 5 Connectivity4 out of 5],1.0,4.0,,500.0,,0,0,0,0,0,0,15,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,4,4,4,4
839,839,,house,sector 2,ansals palam vihar,2.75,1557.0,17662.0,Plot area 173(144.65 sq.m.),3,3,3,2.0,,Moderately Old,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety4 out of 5],,,,,,1,0,0,1,0,0,1,1,1,5,1,0,0,0,0,1,0,0,1,1,0,5,0,1,15,,,,,5,5,5,4
840,840,flat,3 BHK,sector 61,smart world orchard,2.41,1630.0,14785.0,Built Up area: 1630 (151.43 sq.m.)Carpet area: 1625 sq.ft. (150.97 sq.m.),3,3,3,2nd   of 2 Floors,East,undefined,nan,2.0,2.0,,1625.0,1630.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,,,,,,,,
841,841,flat,3 BHK,sector 86,dlf new town heights,1.25,1930.0,6476.0,Super Built up area 1930(179.3 sq.m.),3,4,3+,2nd   of 22 Floors,South-West,Relatively New,[Green Area5 out of 5 Construction4.5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity3 out of 5],2.0,22.0,1930.0,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,4.5,4.5,5,3,,,
842,842,flat,2 BHK,sector 12,allure homes,0.72,990.0,7272.0,Carpet area: 990 (91.97 sq.m.),2,2,1,2nd   of 4 Floors,,Relatively New,[Environment4.5 out of 5 Safety4 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5],2.0,4.0,,990.0,,0,0,0,0,1,0,14,1,1,5,0,0,0,2,0,1,0,0,1,0,1,3,0,1,16,,,,,5,5,4.5,4
843,843,,house,sector 24,independent,6.5,2844.0,22855.0,Plot area 316(264.22 sq.m.),4,4,2,2.0,,Old Property,[Environment4 out of 5 Safety4 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5],,,,,,0,0,0,1,0,0,12,0,0,6,0,0,0,4,0,1,0,0,0,0,0,0,0,0,35,,,,,5,5,4,4
