,index,Property_type,property_type,sector,society,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,rating,floor_Num,total_floors,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,Bed,Light,Chimney,Exhaust Fan,Fan,TV,Dining Table,Microwave,Wardrobe,Sofa,Modular Kitchen,Stove,Washing Machine,AC,Curtains,Water Purifier,Geyser,Fridge,furnishing_type,luxury_score,Green_area,Construction,Management,Amenities,Connectivity,Lifestyle,Environment,Safety
0,0,flat,3 BHK,sector 109,ats kocoon,2.2,2195.0,10023.0,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3,4,3,8th   of 24 Floors,North-East,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],8.0,24.0,2095.0,,1860.0,0,1,0,0,0,0,8,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,5,5,5,5,4,,,
1,1,flat,4 BHK,sector 102,conscient heritage max,2.65,2554.0,10375.0,Super Built up area 2554(237.27 sq.m.),4,5,3+,17th   of 25 Floors,North,Moderately Old,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],17.0,25.0,2554.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,125,5,5,5,5,4.5,,,
2,2,flat,3 BHK,sector 86,dlf new town heights,1.28,1560.0,8205.0,Super Built up area 1930(179.3 sq.m.)Carpet area: 1560 sq.ft. (144.93 sq.m.),3,4,3+,12nd   of 22 Floors,West,Moderately Old,[Green Area5 out of 5 Construction4.5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity3 out of 5],12.0,22.0,1930.0,1560.0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5,4.5,4.5,5,3,,,
3,3,flat,3 BHK,sector 37c,ild greens,0.9,1603.0,5614.0,Super Built up area 1603(148.92 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.),3,3,3,Ground of 19 Floors,North-East,Under Construction,[Green Area5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities4.5 out of 5 Connectivity4.5 out of 5],0.0,19.0,1603.0,,1500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,5,5,4.5,4.5,4.5,,,
4,4,,house,sector 45,independent,8.5,3240.0,26235.0,Plot area 360(301.01 sq.m.),5,4,2,1.0,North-East,Moderately Old,[Environment4.5 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4.5 out of 5],,,,,,0,1,0,1,0,0,17,1,0,4,0,0,1,5,0,1,0,0,7,0,1,6,0,1,49,,,,,5,4,4.5,4.5
5,5,flat,3 BHK,sector 69,tulip violet,1.38,1539.0,8966.0,Super Built up area 1538(142.88 sq.m.),3,3,1,12nd   of 14 Floors,West,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],12.0,14.0,1538.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,86,5,4,5,5,4.5,,,
6,6,flat,4 BHK,sector 81,bestech park view grand spa,4.7,6926.0,6786.0,Super Built up area 6926(643.45 sq.m.),4,4,3+,19th   of 21 Floors,North,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity5 out of 5],19.0,21.0,6926.0,,,0,1,0,0,0,0,4,1,1,0,0,0,0,4,0,1,0,0,4,0,0,4,0,1,140,5,5,5,5,5,,,
7,7,flat,2 BHK,sector 107,signature global solera,0.4,602.0,6644.0,Super Built up area 602(55.93 sq.m.)Carpet area: 548 sq.ft. (50.91 sq.m.),2,2,1,7th   of 7 Floors,,Relatively New,[Green Area4.5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity3 out of 5],7.0,7.0,602.0,548.0,,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,1,0,0,0,3,0,0,0,1,55,4.5,4.5,4,4,3,,,
8,8,,house,sector 43,independent,5.75,2430.0,23662.0,Plot area 270(225.75 sq.m.)Built Up area: 260 sq.yards (217.39 sq.m.)Carpet area: 220 sq.yards (183.95 sq.m.),4,4,2,4.0,North,undefined,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],,,,220.0,260.0,0,1,1,0,0,0,4,1,1,0,4,1,1,5,0,1,1,1,4,0,1,4,1,2,153,,,,,5,5,5,5
9,9,flat,2 BHK,sector 85,ss the leaf,1.05,1640.0,6402.0,Super Built up area 1640(152.36 sq.m.),2,2,3,11st   of 26 Floors,North-East,Relatively New,[Green Area4.5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4.5 out of 5],11.0,26.0,1640.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4.5,4.5,4,4,4.5,,,
10,10,flat,3 BHK,sector 50,the close north,2.35,2093.0,11227.0,Super Built up area 2093(194.45 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,3,3,8th   of 18 Floors,North-East,Moderately Old,[Green Area5 out of 5 Construction4 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],8.0,18.0,2093.0,1850.0,2000.0,0,0,1,0,0,0,10,1,1,6,0,0,0,3,0,1,1,0,5,1,0,4,0,1,149,5,4,4.5,5,4,,,
11,11,flat,2 BHK,sector 95,sidhartha ncr one,0.55,990.0,5556.0,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,15th   of 20 Floors,North-East,undefined,[Environment4 out of 5 Safety4.5 out of 5 Lifestyle4.5 out of 5 Connectivity4 out of 5],15.0,20.0,,950.0,990.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4.5,4,4.5
12,12,flat,2 BHK,sector 74,m3m skywalk,1.52,1139.0,13342.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 1139.2 sq.ft. (105.84 sq.m.),2,2,3,6th   of 30 Floors,South-East,Relatively New,nan,6.0,30.0,1400.0,1139.2,1250.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,,,,,,,,
13,13,flat,3 BHK,sector 99a,pareena coban residences,1.23,1997.0,6159.0,Super Built up area 1997(185.53 sq.m.),3,5,3,5th   of 20 Floors,North-East,Relatively New,[Environment4 out of 5 Lifestyle3 out of 5 Connectivity3 out of 5 Safety3 out of 5],5.0,20.0,1997.0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,99,,,,,3,3,4,3
14,14,flat,3 BHK,sector 106,paras dews,1.2,1034.0,11605.0,Super Built up area 1665(154.68 sq.m.)Built Up area: 1145 sq.ft. (106.37 sq.m.)Carpet area: 1034 sq.ft. (96.06 sq.m.),3,3,3,12nd   of 24 Floors,North-West,Relatively New,nan,12.0,24.0,1665.0,1034.0,1145.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,,,,,,,,
15,15,flat,4 BHK,sector 72,tata primanti,3.5,3063.0,11428.0,Built Up area: 2625 (243.87 sq.m.),4,5,3+,10th   of 40 Floors,West,Relatively New,[Green Area4 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],10.0,40.0,,,2625.0,0,1,0,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,4,5,5,4,,,
16,16,flat,4 BHK,sector 69,unitech sunbreeze,1.0,1826.0,5476.0,Built Up area: 1826 (169.64 sq.m.),4,3,0,Ground of 15 Floors,,undefined,[Safety4 out of 5 Lifestyle4 out of 5 Environment4 out of 5 Connectivity4 out of 5],0.0,15.0,,,1826.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4,4,4
17,17,flat,4 BHK,sector 104,ats triumph,2.6,2950.0,8813.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 2950 sq.ft. (274.06 sq.m.),4,4,3+,16th   of 27 Floors,East,Relatively New,[Green Area4 out of 5 Construction5 out of 5 Management5 out of 5 Amenities4.5 out of 5 Connectivity5 out of 5],16.0,27.0,3150.0,2950.0,,0,1,0,0,0,0,16,0,1,6,0,0,0,0,0,1,0,0,6,0,0,0,0,1,150,4,5,5,4.5,5,,,
18,18,flat,3 BHK,sector 65,m3m skycity,3.5,2054.0,17039.0,Carpet area: 2054 (190.82 sq.m.),3,3,3,15th   of 45 Floors,East,undefined,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],15.0,45.0,,2054.0,,1,1,0,1,0,0,11,1,1,6,0,0,0,0,0,1,1,0,0,0,0,3,0,1,166,,,,,5,4,4,4
19,19,flat,2 BHK,sector 65,m3m heights,2.33,1261.0,18477.0,Super Built up area 1261(117.15 sq.m.),2,2,3,35th   of 35 Floors,North-East,Under Construction,[Environment4 out of 5 Safety4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5],35.0,35.0,1261.0,,,0,0,0,0,0,0,5,1,0,4,0,0,0,2,0,1,1,0,3,0,1,2,0,1,49,,,,,5,4,4,4
20,20,flat,4 BHK,gwal pahari,krrish provence estate,5.5,5800.0,9482.0,Super Built up area 5800(538.84 sq.m.),4,5,3+,11st   of 26 Floors,East,New Property,nan,11.0,26.0,5800.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,,,,,,,,
21,21,,house,sector 81,bestech park view aindependentda,4.35,5481.0,7937.0,Plot area 5480(509.11 sq.m.),4,4,3,2.0,North,Relatively New,[Environment4.5 out of 5 Safety4.5 out of 5 Lifestyle4 out of 5 Connectivity3.5 out of 5],,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,,,,,3.5,4,4.5,4.5
22,22,,house,sector 25,dlf city plots phase 2,6.3,1800.0,35000.0,Plot area 200(167.23 sq.m.),4,4,3+,2.0,East,Old Property,[Environment5 out of 5 Safety5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5],,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,,,,,5,5,5,5
23,23,flat,3 BHK,sector 79,mapsko mount ville,1.25,1490.0,8389.0,Carpet area: 1490 (138.43 sq.m.),3,3,3+,16th   of 31 Floors,North,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],16.0,31.0,,1490.0,,0,0,0,0,0,0,15,1,1,5,0,0,0,3,0,1,0,0,4,4,0,3,0,1,49,5,5,5,5,4,,,
24,24,flat,1 BHK,sector 49,satya element one,0.87,450.0,19333.0,Carpet area: 450 (41.81 sq.m.),1,1,1,2nd   of 12 Floors,,Relatively New,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety5 out of 5],2.0,12.0,,450.0,,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,22,,,,,5,4,4,5
25,25,flat,1 BHK,sector 83,sapphire eighty three,0.65,700.0,9286.0,Built Up area: 700 (65.03 sq.m.),1,1,0,6th   of 6 Floors,,undefined,[Environment5 out of 5 Safety5 out of 5 Lifestyle5 out of 5 Connectivity4 out of 5],6.0,6.0,,,700.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,4,5,5,5
26,26,flat,3 BHK,sector 92,bestech park view sanskruti,1.68,1520.0,11052.0,Super Built up area 2120(196.95 sq.m.)Carpet area: 1520 sq.ft. (141.21 sq.m.),3,4,3+,15th   of 20 Floors,East,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity5 out of 5],15.0,20.0,2120.0,1520.0,,0,1,0,0,0,0,15,1,1,5,0,0,0,5,0,1,0,0,5,0,0,3,0,1,174,5,5,5,5,5,,,
27,27,flat,2 BHK,sector 99a,laxmi apartment sector 99a gurgaon,0.3,650.0,4615.0,Super Built up area 650(60.39 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2,2,1,4th   of 10 Floors,,New Property,[Safety3 out of 5 Lifestyle3 out of 5 Environment4 out of 5 Connectivity3 out of 5],4.0,10.0,650.0,550.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,,,,,3,3,4,3
28,28,,house,sector 54,independent,3.51,2844.0,12342.0,Plot area 316(264.22 sq.m.),4,4,3,4.0,North,undefined,[Environment5 out of 5 Safety5 out of 5 Lifestyle4.5 out of 5 Connectivity4 out of 5],,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,,,,,4,4.5,5,5
29,29,flat,3 BHK,sector 86,dlf new town heights,1.3,1930.0,6735.0,Super Built up area 1930(179.3 sq.m.),3,3,3,12nd   of 22 Floors,North,Moderately Old,[Green Area5 out of 5 Construction4.5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity3 out of 5],12.0,22.0,1930.0,,,0,1,0,0,0,0,10,1,1,5,0,0,0,3,0,1,0,0,0,1,0,3,0,1,165,5,4.5,4.5,5,3,,,
30,30,flat,3 BHK,sector 106,paras dews,1.05,1230.0,8536.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1345 sq.ft. (124.95 sq.m.)Carpet area: 1230 sq.ft. (114.27 sq.m.),3,4,3+,10th   of 24 Floors,North-East,Relatively New,nan,10.0,24.0,1760.0,1230.0,1345.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,174,,,,,,,,
31,31,flat,3 BHK,sector 49,vatika city,1.85,1749.0,10578.0,Super Built up area 1748.87(162.48 sq.m.)Built Up area: 1471.12 sq.ft. (136.67 sq.m.),3,3,1,7th   of 17 Floors,South-West,Moderately Old,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],7.0,17.0,1748.87,,1471.12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,5,4,4,5,4,,,
32,32,flat,3 BHK,sector 107,m3m woodshire,1.29,1460.0,8835.0,Super Built up area 1943(180.51 sq.m.)Carpet area: 1460 sq.ft. (135.64 sq.m.),3,3,3+,1st   of 14 Floors,East,Relatively New,[Green Area4.5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],1.0,14.0,1943.0,1460.0,,0,0,0,1,0,0,6,1,1,5,0,0,0,3,0,1,0,0,5,1,0,2,0,1,174,4.5,5,4.5,5,4,,,
33,33,,house,sector 55,independent,2.8,1500.0,18667.0,Built Up area: 1500 (139.35 sq.m.),4,4,0,2.0,,undefined,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],,,,,1500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,4,4,4
34,34,flat,2 BHK,sector 74,m3m skywalk,1.5,1400.0,10714.0,Carpet area: 1400 (130.06 sq.m.),2,2,1,8th   of 30 Floors,,New Property,nan,8.0,30.0,,1400.0,,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,,,,,,,,
35,35,flat,3 BHK,sector 79,bestech altura,1.85,2150.0,8604.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,7th   of 20 Floors,,undefined,[Environment4 out of 5 Lifestyle3 out of 5 Connectivity4 out of 5 Safety4 out of 5],7.0,20.0,2150.0,1350.0,1650.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,53,,,,,4,3,4,4
36,36,flat,4 BHK,sector 86,dlf new town heights,1.55,2356.0,6578.0,Super Built up area 2356(218.88 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),4,4,3+,12nd   of 22 Floors,North-East,Moderately Old,[Green Area5 out of 5 Construction4.5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity3 out of 5],12.0,22.0,2356.0,1750.0,,0,1,0,1,0,0,7,1,1,6,0,0,0,5,0,1,0,0,0,0,0,4,0,1,120,5,4.5,4.5,5,3,,,
37,37,,house,sector 39,independent,1.8,823.0,21875.0,Plot area 900(83.61 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 720 sq.ft. (66.89 sq.m.),1,1,2,3.0,North-East,Relatively New,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],,,,720.0,800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,4,4,4
38,38,flat,2 BHK,sector 78,umang monsoon breeze,0.62,1239.0,5004.0,Super Built up area 1239(115.11 sq.m.)Built Up area: 1115 sq.ft. (103.59 sq.m.)Carpet area: 947 sq.ft. (87.98 sq.m.),2,2,1,7th   of 12 Floors,South,Moderately Old,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],7.0,12.0,1239.0,947.0,1115.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,111,,,,,5,4,4,4
39,39,flat,3 BHK,sector 109,sbtl caladium,1.68,2545.0,6601.0,Super Built up area 2545(236.44 sq.m.),3,3,3+,7th   of 20 Floors,East,Moderately Old,[Environment5 out of 5 Lifestyle4 out of 5 Connectivity3.5 out of 5 Safety4.5 out of 5],7.0,20.0,2545.0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,,,,,3.5,4,5,4.5
40,40,flat,3 BHK,sector 86,microtek greenburg,1.25,1480.0,8445.0,Super Built up area 1480(137.5 sq.m.),3,4,3,Ground of 21 Floors,South-West,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management3 out of 5 Amenities4.5 out of 5 Connectivity4.5 out of 5],0.0,21.0,1480.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,5,4,3,4.5,4.5,,,
41,41,,house,sector 14,sector 14 rwa,6.5,3150.0,20635.0,Plot area 350(292.64 sq.m.),4,4,3+,2.0,,Moderately Old,[Environment4 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety4 out of 5],,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,5,4,4
42,42,flat,2 BHK,manesar,eden landmark,0.5,1300.0,3847.0,Built Up area: 1300 (120.77 sq.m.),2,2,0,7th   of 11 Floors,,Under Construction,[Environment4 out of 5 Lifestyle3.5 out of 5 Connectivity4 out of 5 Safety4 out of 5],7.0,11.0,,,1300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,3.5,4,4
43,43,,house,sector 50,unitech nirvana birch court,7.1,251.0,283333.0,Plot area 240(22.3 sq.m.),3,3,3,1.0,East,Moderately Old,[Environment5 out of 5 Safety5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5],,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,49,,,,,5,5,5,5
44,44,flat,1 BHK,sector 104,zara aavaas,0.2,301.0,6644.0,Carpet area: 301 (27.96 sq.m.),1,2,2,3rd   of 3 Floors,,New Property,[Environment4 out of 5 Safety3.5 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5],3.0,3.0,,301.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,,,,,4,4,4,3.5
45,45,flat,2 BHK,sector 74,m3m skywalk,1.48,1200.0,12333.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,13rd   of 30 Floors,North-East,Relatively New,nan,13.0,30.0,1400.0,1200.0,1300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,,,,,,,,
46,46,,house,sector 109,international city by sobha phase 2,7.0,5400.0,12963.0,Plot area 600(501.68 sq.m.),5,6,2,2.0,West,Relatively New,[Environment5 out of 5 Lifestyle4 out of 5 Connectivity3.5 out of 5 Safety4.5 out of 5],,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,,,,,3.5,4,5,4.5
47,47,flat,3 BHK,sohna road,signature global park,0.78,1210.0,6446.0,Carpet area: 1210 (112.41 sq.m.),3,3,3,3rd   of 4 Floors,South-West,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity5 out of 5],3.0,4.0,,1210.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,5,4,5,5,,,
48,48,flat,4 BHK,sector 14,unitech heritage city,4.26,3250.0,13108.0,Built Up area: 3250 (301.93 sq.m.),4,4,0,9th   of 9 Floors,,undefined,[Environment4 out of 5 Safety3 out of 5 Lifestyle4 out of 5 Connectivity3 out of 5],9.0,9.0,,,3250.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,3,4,4,3
49,49,,house,sector 4,independent,3.25,2250.0,14444.0,Plot area 250(209.03 sq.m.),3,3,2,2.0,South-East,Old Property,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],,,,,,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,,5,5,5,5
50,50,flat,3 BHK,sector 36,signature global park 4,0.82,1081.0,7585.0,Super Built up area 1081(100.43 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),3,2,2,2nd   of 4 Floors,,New Property,nan,2.0,4.0,1081.0,650.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,
51,51,,house,sector 12,project mianwali colony,1.7,1800.0,9444.0,Carpet area: 1800 (167.23 sq.m.),1,1,2,1.0,,undefined,[Environment3.5 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,1800.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4,3.5,4
52,52,flat,4 BHK,sector 92,bestech park view sanskruti,1.83,2325.0,7870.0,Super Built up area 2325(216 sq.m.),4,3,3,8th   of 19 Floors,East,New Property,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity5 out of 5],8.0,19.0,2325.0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,128,5,5,5,5,5,,,
53,53,flat,3 BHK,sector 108,experion the heartsong,1.7,2003.0,8487.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1500.29 sq.ft. (139.38 sq.m.)Carpet area: 1140.98 sq.ft. (106 sq.m.),3,4,3+,14th   of 15 Floors,South-East,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],14.0,15.0,2003.0,1140.98,1500.29,0,1,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,119,5,4,4,5,4,,,
54,54,flat,3 BHK,sector 95,rof ananda,0.55,645.0,8527.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,14th   of 14 Floors,East,New Property,[Environment4 out of 5 Lifestyle4.5 out of 5 Connectivity4 out of 5 Safety4.5 out of 5],14.0,14.0,1000.0,645.0,,1,0,0,0,0,0,6,0,1,3,0,0,0,2,1,1,0,0,0,1,1,1,0,1,81,,,,,4,4.5,4,4.5
55,55,flat,4 BHK,sector 70a,bptp pedestal,1.9,2000.0,9500.0,Carpet area: 1900 (176.52 sq.m.),4,3,3,2nd   of 3 Floors,East,New Property,[Safety4 out of 5 Lifestyle4 out of 5 Environment5 out of 5 Connectivity4 out of 5],2.0,3.0,,1900.0,,0,0,1,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,133,,,,,4,4,5,4
56,56,flat,2 BHK,sector 79,godrej aria,0.96,722.0,13296.0,Super Built up area 1351(125.51 sq.m.)Carpet area: 722 sq.ft. (67.08 sq.m.),2,2,3,8th   of 15 Floors,North-East,Relatively New,[Green Area4 out of 5 Construction5 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],8.0,15.0,1351.0,722.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,4,5,4,5,4,,,
57,57,flat,3 BHK,sector 58,ireo the grand arch,3.8,2164.0,17560.0,Super Built up area 2164(201.04 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,1,19th   of 29 Floors,West,Moderately Old,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity5 out of 5],19.0,29.0,2164.0,1600.0,1700.0,0,1,0,0,0,0,10,1,1,5,0,0,0,3,0,1,1,0,5,0,1,3,0,1,167,5,5,5,5,5,,,
58,58,flat,4 BHK,sector 65,emaar mgf emerald floors,3.2,3150.0,10159.0,Built Up area: 3150 (292.64 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),4,3,2,1st   of 2 Floors,,Relatively New,[Green Area4.5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],1.0,2.0,,1750.0,3150.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5,4.5,5,4.5,,,
59,59,,house,sector 11,"nirmal enclave, maruti kunj road",0.24,450.0,5333.0,Plot area 450(41.81 sq.m.),2,2,0,2.0,North,Relatively New,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4,4,4
60,60,flat,3 BHK,sector 77,umang winter hills,0.92,1822.0,5049.0,Super Built up area 1822(169.27 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,17th   of 18 Floors,North-East,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4 out of 5 Amenities4.5 out of 5 Connectivity4.5 out of 5],17.0,18.0,1822.0,1400.0,,0,0,0,0,1,0,5,1,1,5,0,0,0,3,0,1,0,0,4,0,0,3,0,1,49,5,5,4,4.5,4.5,,,
