Unnamed: 0.1,Unnamed: 0,index,property_type,sector,society,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,agePossession,rating,floor_Num,total_floors,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,TV,Bed,Microwave,Geyser,Fan,Chimney,Water Purifier,Dining Table,Sofa,Fridge,Modular Kitchen,Stove,Light,Curtains,Exhaust Fan,Wardrobe,AC,Washing Machine,furnishing_type,luxury_score,Safety,Lifestyle,Environment,Connectivity,Management,Amenities,Green_area,Construction
1528,1528,1528,house,sector 55,independent,5.6,2700.0,20741.0,Plot area 300(250.84 sq.m.),6,4,3,3.0,Old Property,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],,,,,,0,1,0,0,0,0,0,1,4,10,1,0,0,0,0,0,0,12,0,0,5,4,0,2,41,4.0,4.0,4.0,5.0,,,,
1529,1529,1529,Flat,sector 84,pivotal devaan,0.35,481.0,7277.0,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2,2,1,10th   of 14 Floors,Relatively New,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],10.0,14.0,583.0,481.0,531.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,4.0,4.0,4.0,4.0,,,,
1530,1530,1530,Flat,sector 81,bestech park view grand spa,2.29,2660.0,8609.0,Super Built up area 2660(247.12 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,10th   of 29 Floors,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity5 out of 5],10.0,29.0,2660.0,2000.0,2315.0,1,1,0,0,0,0,0,1,0,4,1,0,0,0,1,1,0,0,1,1,4,6,1,1,174,,,,5.0,5.0,5.0,5.0,5.0
1531,1531,1531,Flat,sector 102,emaar gurgaon greens,1.42,1650.0,8606.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022 sq.ft. (94.95 sq.m.),3,3,3,4th   of 14 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],4.0,14.0,1650.0,1022.0,1314.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,,,,4.0,5.0,5.0,5.0,4.0
1532,1532,1532,Flat,sector 84,alpha corp gurgaonone,1.49,1963.0,7590.0,Super Built up area 1963(182.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3,6th   of 26 Floors,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4 out of 5],6.0,26.0,1963.0,1700.0,1833.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,,,4.0,4.0,4.0,5.0,5.0
1533,1533,1533,Flat,sector 90,dlf regal gardens,1.25,1744.0,7167.0,Super Built up area 1744(162.02 sq.m.),3,3,2,11st   of 29 Floors,Relatively New,[Green Area5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],11.0,29.0,1744.0,,1578.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,,,,4.0,4.0,5.0,5.0,4.5
1534,1534,1534,Flat,sector 107,m3m woodshire,1.7,2768.0,6142.0,Super Built up area 2768(257.16 sq.m.),4,5,3+,9th   of 14 Floors,Relatively New,[Green Area4.5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],9.0,14.0,2768.0,,2505.0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,10,0,0,0,6,0,0,79,,,,4.0,4.5,5.0,4.5,5.0
1536,1536,1536,Flat,sector 70,shree vardhman victoria,1.25,1350.0,9259.0,Super Built up area 1350(125.42 sq.m.),2,2,3,3rd   of 18 Floors,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities4.5 out of 5 Connectivity3.5 out of 5],3.0,18.0,1350.0,,1222.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,,,,3.5,4.5,4.5,5.0,5.0
1537,1537,1537,Flat,sector 82,mapsko casa bella,1.25,1960.0,6378.0,Super Built up area 1960(182.09 sq.m.),3,4,3+,8th   of 19 Floors,Under Construction,[Management4 out of 5 Green Area4.5 out of 5 Construction4 out of 5 Amenities4 out of 5 Connectivity4 out of 5],8.0,19.0,1960.0,,1774.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,,,,4.0,4.0,4.0,4.5,4.0
1538,1538,1538,Flat,sector 70,shree vardhman victoria,1.62,1950.0,8308.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,9th   of 18 Floors,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities4.5 out of 5 Connectivity3.5 out of 5],9.0,18.0,1950.0,1161.0,1527.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,,,,3.5,4.5,4.5,5.0,5.0
