Unnamed: 0.1,Unnamed: 0,index,property_type,sector,society,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,agePossession,rating,floor_Num,total_floors,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,TV,Bed,Microwave,Geyser,Fan,Chimney,Water Purifier,Dining Table,Sofa,Fridge,Modular Kitchen,Stove,Light,Curtains,Exhaust Fan,Wardrobe,AC,Washing Machine,furnishing_type,luxury_score,Safety,Lifestyle,Environment,Connectivity,Management,Amenities,Green_area,Construction
0,0,0,Flat,sector 22,ambience creacions,3.5,1800.0,19444.0,Carpet area: 1800 (167.23 sq.m.),3,4,3+,8th   of 18 Floors,undefined,[Safety5 out of 5 Lifestyle4 out of 5 Environment4 out of 5 Connectivity5 out of 5],8.0,18.0,,1800.0,2000.0,0,1,0,0,0,0,0,1,4,6,1,0,0,0,0,0,0,0,0,0,2,4,0,2,57,5.0,4.0,4.0,5.0,,,,
1,1,1,Flat,sector 85,ss the leaf,1.3,1640.0,7927.0,Super Built up area 1640(152.36 sq.m.),2,2,2,17th   of 26 Floors,New Property,[Green Area4.5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4.5 out of 5],17.0,26.0,1640.0,,1484.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,,,,4.5,4.0,4.0,4.5,4.5
3,3,3,house,sector 3 phase 3 extension,independent,0.55,1100.0,5000.0,Built Up area: 1100 (102.19 sq.m.),2,1,0,1.0,undefined,[Environment3 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,,1100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3.0,4.0,,,,
4,4,4,Flat,sector 66,emaar mgf the palm drive,3.98,2200.0,18091.0,Super Built up area 2200(204.39 sq.m.),3,4,3+,2nd   of 17 Floors,Moderately Old,[Green Area5 out of 5 Construction4.5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity5 out of 5],2.0,17.0,2200.0,,2200.0,0,1,0,0,0,0,0,0,4,5,1,0,0,0,0,1,0,15,0,1,6,5,0,2,123,,,,5.0,4.5,5.0,5.0,4.5
5,5,5,Flat,sector 62,pioneer araya,10.75,5513.0,19499.0,Super Built up area 5514(512.27 sq.m.),5,7,3,10th   of 34 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity5 out of 5],10.0,34.0,5514.0,,4990.0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,15,0,0,0,6,0,2,153,,,,5.0,4.0,4.0,5.0,4.0
6,6,6,Flat,sector 109,raheja atharva,0.79,996.0,7932.0,Super Built up area 1457(135.36 sq.m.)Carpet area: 996 sq.ft. (92.53 sq.m.),3,2,2,3rd   of 14 Floors,Relatively New,[Green Area4 out of 5 Construction2 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4 out of 5],3.0,14.0,1457.0,996.0,1213.0,0,0,0,0,0,0,0,1,3,5,1,1,0,0,0,1,1,6,1,1,6,0,0,2,44,,,,4.0,4.0,4.0,4.0,2.0
7,7,7,Flat,sector 107,m3m woodshire,0.94,1366.0,6881.0,Super Built up area 1366(126.91 sq.m.),2,2,3+,1st   of 14 Floors,Moderately Old,[Green Area4.5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],1.0,14.0,1366.0,,1236.0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,2,3,0,0,113,,,,4.0,4.5,5.0,4.5,5.0
8,8,8,Flat,sector 68,pareena mi casa,1.7,2000.0,8500.0,Super Built up area 1999(185.71 sq.m.),4,4,3+,23rd   of 36 Floors,New Property,[Safety5 out of 5 Lifestyle4 out of 5 Environment4 out of 5 Connectivity3 out of 5],23.0,36.0,1999.0,,1809.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88,5.0,4.0,4.0,3.0,,,,
9,9,9,Flat,sector 70,shree vardhman victoria,1.6,1950.0,8205.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,6th   of 18 Floors,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities4.5 out of 5 Connectivity3.5 out of 5],6.0,18.0,1950.0,1161.0,1527.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,108,,,,3.5,4.5,4.5,5.0,5.0
10,10,10,Flat,sector 69,tulip violet,1.46,1578.0,9252.0,Super Built up area 1578(146.6 sq.m.),3,3,2,Ground of 14 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],0.0,14.0,1578.0,,1428.0,0,0,0,1,0,0,0,0,3,5,1,0,1,0,0,1,0,15,1,1,3,0,0,2,174,,,,4.5,5.0,5.0,5.0,4.0
11,11,11,Flat,sector 61,smart world orchard,1.6,1150.0,13913.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,4th   of 4 Floors,undefined,,4.0,4.0,,1150.0,1278.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29,,,,,,,,
12,12,12,Flat,sector 56,cghs vidya enclave,1.7,1550.0,10968.0,Super Built up area 1600(148.64 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,2,3,6th   of 9 Floors,Old Property,[Green Area5 out of 5 Construction4.5 out of 5 Management5 out of 5 Amenities4 out of 5 Connectivity5 out of 5],6.0,9.0,1600.0,1550.0,1585.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,101,,,,5.0,5.0,4.0,5.0,4.5
13,13,13,Flat,sector 37d,signature global the millennia,0.65,596.0,10906.0,Super Built up area 650(60.39 sq.m.)Carpet area: 596 sq.ft. (55.37 sq.m.),2,2,3,Ground of 16 Floors,New Property,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],0.0,16.0,650.0,596.0,625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4.0,4.0,4.0,4.0,,,,
14,14,14,Flat,sector 56,kiran residency,1.55,2000.0,7750.0,Super Built up area 2000(185.81 sq.m.),3,3,3,5th   of 9 Floors,Old Property,[Environment4 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety4 out of 5],5.0,9.0,2000.0,,1810.0,0,1,0,0,0,0,0,0,3,6,1,0,0,0,0,1,0,11,0,1,3,3,0,2,52,4.0,5.0,4.0,5.0,,,,
15,15,15,Flat,sector 86,pyramid urban homes 2,0.41,495.0,8283.0,Carpet area: 501 (46.54 sq.m.),2,2,1,7th   of 13 Floors,New Property,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity4.5 out of 5 Safety4.5 out of 5],7.0,13.0,,501.0,557.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,4.5,5.0,5.0,4.5,,,,
16,16,16,Flat,sector 79,godrej,2.0,2366.0,8453.0,Carpet area: 2366 (219.81 sq.m.),3,4,3+,2nd   of 15 Floors,Relatively New,[Green Area5 out of 5 Amenities5 out of 5 Management4.5 out of 5 Construction5 out of 5 Connectivity4 out of 5],2.0,15.0,,2366.0,2629.0,0,1,0,0,0,0,0,0,5,5,1,1,0,0,0,1,1,25,1,1,9,4,0,2,156,,,,4.0,4.5,5.0,5.0,5.0
17,17,17,house,sector 50,unitech espace,7.45,2160.0,34491.0,Plot area 240(200.67 sq.m.)Built Up area: 4500 sq.yards (3762.57 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),4,4,3,3.0,Old Property,[Environment5 out of 5 Safety5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5],,,,4000.0,4500.0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,15,1,1,4,0,0,2,59,5.0,5.0,5.0,5.0,,,,
18,18,18,house,sector 5,independent,3.5,2367.0,14787.0,Plot area 263(219.9 sq.m.),5,4,2,2.0,Old Property,[Environment4 out of 5 Safety4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5],,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4.0,4.0,4.0,5.0,,,,
19,19,19,Flat,manesar,hsiidc sidco aravali,0.91,2588.0,3516.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),3,3,3+,8th   of 10 Floors,Moderately Old,[Environment5 out of 5 Lifestyle4.5 out of 5 Connectivity4 out of 5 Safety4.5 out of 5],8.0,10.0,2588.0,,1900.0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,23,4.5,4.5,5.0,4.0,,,,
20,20,20,Flat,sector 7,project krishna colony,0.36,700.0,5143.0,Built Up area: 700 (65.03 sq.m.),2,2,1,Ground of 3 Floors,Relatively New,[Environment4 out of 5 Safety4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5],0.0,3.0,,,700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,,,,
21,21,21,Flat,sector 69,tulip violet,1.2,1350.0,8889.0,Super Built up area 1350(125.42 sq.m.),2,3,1,Ground of 14 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],0.0,14.0,1350.0,,1222.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150,,,,4.5,5.0,5.0,5.0,4.0
22,22,22,Flat,sector 22,ambience creacions,2.55,1860.0,13710.0,Super Built up area 1860(172.8 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,8th   of 20 Floors,Relatively New,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety5 out of 5],8.0,20.0,1860.0,1400.0,1860.0,0,0,0,0,1,0,0,0,4,5,1,0,0,0,1,1,0,16,0,1,3,5,1,2,125,5.0,4.0,4.0,5.0,,,,
23,23,23,Flat,sector 2,hcbs sports ville,0.35,800.0,4375.0,Built Up area: 800 (74.32 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,2,8th   of 8 Floors,Relatively New,,8.0,8.0,,600.0,800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,,,,,,,,
24,24,24,Flat,sector 107,m3m woodshire,0.75,1366.0,5490.0,Super Built up area 1366(126.91 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,2,3+,14th   of 14 Floors,Relatively New,[Green Area4.5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],14.0,14.0,1366.0,1050.0,1201.0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,5,1,1,0,4,0,0,174,,,,4.0,4.5,5.0,4.5,5.0
25,25,25,Flat,gwal pahari,krrish provence estate,5.5,5800.0,9483.0,Super Built up area 5800(538.84 sq.m.),4,5,3+,11st   of 26 Floors,New Property,,11.0,26.0,5800.0,,5249.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,,,,,,,,
26,26,26,Flat,sector 37d,bptp terra,1.95,1350.0,14444.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),4,3,3,7th   of 20 Floors,undefined,[Green Area4.5 out of 5 Amenities4.5 out of 5 Management4.5 out of 5 Construction4.5 out of 5 Connectivity4 out of 5],7.0,20.0,2191.0,1350.0,1650.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,53,,,,4.0,4.5,4.5,4.5,4.5
27,27,27,Flat,sector 72,tata primanti,3.9,2905.0,13425.0,Super Built up area 2905(269.88 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),4,4,3+,39th   of 40 Floors,Relatively New,[Green Area4 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],39.0,40.0,2905.0,2150.0,2509.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,49,,,,4.0,5.0,5.0,4.0,4.0
28,28,28,Flat,sector 102,shapoorji pallonji joyville gurugram,0.95,915.0,10383.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 858 sq.ft. (79.71 sq.m.),2,2,2,14th   of 14 Floors,undefined,[Environment4 out of 5 Safety4 out of 5 Lifestyle5 out of 5 Connectivity4 out of 5],14.0,14.0,,858.0,915.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,5.0,4.0,4.0,,,,
29,29,29,Flat,sector 56,shri banke bihari society,1.35,1400.0,9643.0,Super Built up area 1500(139.35 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,4th   of 8 Floors,Old Property,[Green Area4 out of 5 Construction5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4 out of 5],4.0,8.0,1500.0,1400.0,1450.0,0,0,0,0,1,0,0,0,2,6,1,0,0,0,0,1,0,8,0,1,3,0,0,2,174,,,,4.0,4.0,4.0,4.0,5.0
30,30,30,Flat,sohna road,signature global park,0.95,1210.0,7851.0,Built Up area: 1210 (112.41 sq.m.),3,2,3+,3rd   of 4 Floors,New Property,[Green Area5 out of 5 Construction5 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity5 out of 5],3.0,4.0,,,1210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,,,,5.0,4.0,5.0,5.0,5.0
31,31,31,Flat,sector 99a,pareena coban residences,1.45,1997.0,7261.0,Super Built up area 1997(185.53 sq.m.),3,5,3,11st   of 20 Floors,Relatively New,[Environment4 out of 5 Lifestyle3 out of 5 Connectivity3 out of 5 Safety3 out of 5],11.0,20.0,1997.0,,1807.0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,5,0,1,0,5,0,2,49,3.0,3.0,4.0,3.0,,,,
32,32,32,house,sector 2,independent,0.98,1080.0,9074.0,Carpet area: 120 (100.34 sq.m.),9,4,3,1.0,undefined,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,120.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,,,,
33,33,33,Flat,sector 83,emaar palm gardens,1.73,1900.0,9105.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,5th   of 16 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],5.0,16.0,1900.0,1240.04,1600.0,0,1,0,0,0,0,0,0,3,9,1,0,0,0,0,1,0,11,0,1,3,3,0,2,174,,,,4.0,4.0,5.0,5.0,4.0
34,34,34,Flat,sohna road,breez global hill view,0.35,554.0,6318.0,Carpet area: 554.16 (51.48 sq.m.),2,2,2,14th   of 19 Floors,New Property,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],14.0,19.0,,554.16,616.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,4.0,4.0,4.0,5.0,,,,
35,35,35,Flat,sector 91,tarc maceo,1.8,2320.0,7759.0,Carpet area: 2320 (215.54 sq.m.),3,3,3+,Ground of 13 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management5 out of 5 Amenities4 out of 5 Connectivity4 out of 5],0.0,13.0,,2320.0,2578.0,0,0,0,1,0,2,2,1,3,7,1,1,1,1,0,1,1,7,1,0,4,5,0,1,45,,,,4.0,5.0,4.0,5.0,4.0
36,36,36,Flat,sector 61,smart world orchard,2.2,1630.0,13497.0,Carpet area: 1600 (148.64 sq.m.),3,3,2,1st   of 4 Floors,undefined,,1.0,4.0,,1600.0,1778.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,,,,,,,,
37,37,37,Flat,sector 83,vatika city homes,0.75,1325.0,5660.0,Super Built up area 1325(123.1 sq.m.),2,2,2,3rd   of 8 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity5 out of 5],3.0,8.0,1325.0,,1199.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,5,0,1,1,0,0,2,49,,,,5.0,4.0,5.0,5.0,4.0
38,38,38,house,sector 12,independent,1.35,1105.0,12217.0,Plot area 150(125.42 sq.m.)Built Up area: 2052 sq.yards (1715.73 sq.m.),5,5,1,3.0,Old Property,[Environment3.5 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,,2052.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4.0,4.0,3.5,4.0,,,,
39,39,39,house,sector 2,independent,1.15,594.0,19360.0,Plot area 66(55.18 sq.m.),3,3,2,2.0,Old Property,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety4 out of 5],,,,,,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,10,0,1,2,0,0,2,32,4.0,5.0,5.0,5.0,,,,
40,40,40,Flat,sector 65,emaar mgf emerald floors,2.6,1650.0,15758.0,Carpet area: 1650 (153.29 sq.m.),3,3,3+,3rd   of 5 Floors,undefined,[Safety4 out of 5 Lifestyle4 out of 5 Environment4 out of 5 Connectivity5 out of 5],3.0,5.0,,1650.0,1650.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.0,4.0,4.0,5.0,,,,
41,41,41,Flat,manesar,hsiidc sidco shivalik apartments,0.85,1666.0,5102.0,Super Built up area 1666(154.78 sq.m.),3,2,2,5th   of 11 Floors,Moderately Old,[Green Area4 out of 5 Construction4 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity5 out of 5],5.0,11.0,1666.0,,1508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5.0,4.0,4.0,4.0,4.0
42,42,42,Flat,sector 102,emaar gurgaon greens,1.3,1650.0,7879.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1155 sq.ft. (107.3 sq.m.),3,3,3,7th   of 14 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],7.0,14.0,1650.0,1155.0,1388.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,,,,4.0,5.0,5.0,5.0,4.0
43,43,43,Flat,sohna road,breez global heights,0.26,394.0,6599.0,Carpet area: 394 (36.6 sq.m.),1,1,1,6th   of 10 Floors,New Property,[Management5 out of 5 Green Area5 out of 5 Construction5 out of 5 Amenities5 out of 5 Connectivity5 out of 5],6.0,10.0,,394.0,438.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,5.0,5.0,5.0,5.0,5.0
44,44,44,Flat,sector 111,m3m the tree of life,2.35,1615.0,14551.0,Built Up area: 1615 (150.04 sq.m.),3,3,3+,5th   of 30 Floors,undefined,,5.0,30.0,,,1615.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
45,45,45,Flat,sohna road,mvn athens,0.26,482.0,5394.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,5th   of 15 Floors,Relatively New,[Green Area4 out of 5 Amenities4.5 out of 5 Management5 out of 5 Construction4 out of 5 Connectivity4 out of 5],5.0,15.0,,481.73,535.0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,7,1,0,0,0,0,0,95,,,,4.0,5.0,4.5,4.0,4.0
46,46,46,Flat,sector 53,tulip monsella,7.4,2229.0,33199.0,Carpet area: 2229 (207.08 sq.m.),4,4,3,21st   of 36 Floors,undefined,[Safety4 out of 5 Lifestyle5 out of 5 Environment4 out of 5 Connectivity5 out of 5],21.0,36.0,,2229.0,2477.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,35,4.0,5.0,4.0,5.0,,,,
47,47,47,Flat,sector 78,umang monsoon breeze,1.1,2176.0,5055.0,Built Up area: 2176 (202.16 sq.m.),3,3,3+,9th   of 18 Floors,Old Property,[Safety4 out of 5 Lifestyle4 out of 5 Environment4 out of 5 Connectivity5 out of 5],9.0,18.0,,,2176.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,4.0,4.0,4.0,5.0,,,,
48,48,48,Flat,sector 65,m3m heights,2.86,1035.0,27633.0,Carpet area: 2040 (189.52 sq.m.),3,3,3,45   of 47 Floors,undefined,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],45.0,47.0,,2040.0,2267.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4.0,4.0,4.0,5.0,,,,
49,49,49,Flat,sector 111,puri diplomatic greens,3.5,2950.0,11864.0,Super Built up area 2950(274.06 sq.m.)Built Up area: 2700 sq.ft. (250.84 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,5,3+,10th   of 21 Floors,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity3 out of 5],10.0,21.0,2950.0,2500.0,2700.0,0,1,0,0,0,0,0,0,5,6,1,0,0,0,0,1,0,20,6,1,4,7,0,2,49,,,,3.0,4.0,4.0,5.0,5.0
50,50,50,Flat,sector 66,emaar mgf palm studios,1.45,980.0,14796.0,Super Built up area 1188(110.37 sq.m.)Carpet area: 980 sq.ft. (91.04 sq.m.),2,2,3,3rd   of 20 Floors,Relatively New,[Environment3 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],3.0,20.0,1188.0,980.0,1082.0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,5,0,0,2,4,0,0,92,4.0,4.0,3.0,4.0,,,,
53,53,53,Flat,sector 71,chd avenue,1.2,1620.0,7407.0,Super Built up area 1620(150.5 sq.m.),3,3,3,4th   of 14 Floors,Relatively New,[Green Area5 out of 5 Construction3 out of 5 Management2 out of 5 Amenities4 out of 5 Connectivity3 out of 5],4.0,14.0,1620.0,,1466.0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,3,1,0,2,49,,,,3.0,2.0,4.0,5.0,3.0
54,54,54,Flat,sector 69,tulip violet,1.4,1584.0,8838.0,Super Built up area 1578(146.6 sq.m.),3,3,2,1st   of 14 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],1.0,14.0,1578.0,,1428.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95,,,,4.5,5.0,5.0,5.0,4.0
55,55,55,Flat,sector 92,sare homes,0.95,2000.0,4750.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1983 sq.ft. (184.23 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),4,3,2,17th   of 20 Floors,New Property,[Safety3 out of 5 Lifestyle4 out of 5 Environment5 out of 5 Connectivity4 out of 5],17.0,20.0,2000.0,1900.0,1983.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7,3.0,4.0,5.0,4.0,,,,
56,56,56,Flat,sector 60,ireo skyon,3.8,2800.0,13571.0,Super Built up area 2800(260.13 sq.m.)Built Up area: 2791 sq.ft. (259.29 sq.m.)Carpet area: 2768 sq.ft. (257.16 sq.m.),4,5,3,15th   of 39 Floors,Moderately Old,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity5 out of 5],15.0,39.0,2800.0,2768.0,2791.0,0,1,0,0,0,0,0,0,4,6,0,1,0,0,0,1,0,10,1,1,4,6,0,2,145,,,,5.0,5.0,5.0,5.0,5.0
57,57,57,Flat,sector 65,m3m skycity,3.0,1828.0,16411.0,Super Built up area 1828(169.83 sq.m.),3,3,3,17th   of 47 Floors,Under Construction,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],17.0,47.0,1828.0,,1828.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,4.0,4.0,4.0,5.0,,,,
58,58,58,house,sector 43,independent,5.3,1935.0,27390.0,Plot area 215(179.77 sq.m.),9,9,3+,3.0,Moderately Old,[Environment4 out of 5 Safety4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5],,,,,,0,1,0,0,0,0,0,0,12,15,1,0,0,0,0,1,0,60,0,1,9,0,0,2,71,4.0,4.0,4.0,4.0,,,,
59,59,59,Flat,sector 95,rof ananda,0.38,644.0,5901.0,Carpet area: 644.12 (59.84 sq.m.),3,2,1,2nd   of 14 Floors,Relatively New,[Environment4 out of 5 Lifestyle4.5 out of 5 Connectivity4 out of 5 Safety4.5 out of 5],2.0,14.0,,644.12,716.0,0,0,0,1,0,0,0,0,1,5,1,0,0,0,0,1,0,8,1,1,0,0,0,2,66,4.5,4.5,4.0,4.0,,,,
60,60,60,Flat,sector 92,sare crescent parc royal greens phase 1,1.25,2143.0,5833.0,Super Built up area 2143(199.09 sq.m.),4,4,3,20th   of 20 Floors,Relatively New,[Environment5 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety3 out of 5],20.0,20.0,2143.0,,1939.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3.0,4.0,5.0,4.0,,,,
61,61,61,Flat,sector 108,sobha city,2.4,1381.0,17379.0,Super Built up area 1381(128.3 sq.m.),2,2,2,14th   of 24 Floors,New Property,[Environment4 out of 5 Lifestyle4.5 out of 5 Connectivity4.5 out of 5 Safety4.5 out of 5],14.0,24.0,1381.0,,1250.0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,1,0,4,0,0,4,1,0,2,113,4.5,4.5,4.0,4.5,,,,
62,62,62,Flat,sector 112,experion windchants,3.65,2965.0,12310.0,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3,4,3+,14th   of 28 Floors,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity3 out of 5],14.0,28.0,2802.0,,2225.56,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,0,0,1,0,5,0,2,150,,,,3.0,5.0,5.0,5.0,5.0
